Longitude,Latitude,,
-122.72116,38.586133,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.72311,38.590039,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.7153,38.58418,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.65671,38.611523,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.64694,38.617383,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.64694,38.625195,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.64499,38.638867,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.6235,38.631055,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.69577,38.994336,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.86765,38.752149,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.88522,38.750195,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.89304,38.750195,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.91061,38.750195,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.9028,38.748242,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.88327,38.748242,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.91647,38.752149,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.92819,38.758008,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.93015,38.76582,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.92819,38.783399,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.92233,38.787305,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.91647,38.787305,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.89694,38.773633,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.88913,38.761914,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-122.91452,38.785352,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-121.34616,39.390821,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-121.34811,39.39668,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-120.76022,39.759962,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-120.76803,39.759962,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-121.36374,39.384961,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-121.3735,39.388868,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-123.21921,39.377149,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-123.25241,39.351758,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-123.29343,39.343946,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-123.30124,39.343946,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-123.29929,39.328321,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-123.29538,39.328321,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-123.31296,39.299024,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-123.30515,39.291211,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-123.2739,39.285352,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-123.25632,39.287305,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-123.25046,39.287305,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-123.2485,39.289258,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-123.19186,39.373243,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-123.18991,39.371289,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-123.16452,39.285352,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-123.15866,39.293164,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-123.15475,39.304883,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-123.15085,39.304883,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-123.13522,39.371289,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
-123.14694,39.371289,,<BR>Fire Attributes:<BR>YearDay: 2017283<BR>Time: 0950<BR>Satellite: Suomi NPP<BR>Method of Detection: ANALYSIS<BR>
